date,nav,spot,prem_mid,opt_cost,payoff,hedge_pnl,hedge_cost,liab,short_notional,net_delta_units,n_sold,n_skipped,ret,real_hourly
2023-04-04,257.739,4100.6,0.103339,0.00327886,0.0180482,-0.572647,0.00343814,0.173603,901.278,0,40,0,0.000519535,False
2023-04-05,257.794,4090.38,0.104618,0.00332255,0,-0.0645275,0.00099302,0.153872,899.171,0,40,0,0.000215359,False
2023-04-06,257.922,4105.02,0.0992728,0.00316638,0,0.0680135,0.00121234,0.189476,902.517,0,40,0,0.000493816,False
2023-04-10,257.954,4109.11,0.0985333,0.00314851,0,-0.0628886,0.00127826,0.188025,903.674,0,40,0,0.000126663,False
2023-04-11,258.069,4108.94,0.099014,0.00316197,0,0.00721516,0.000985084,0.175685,903.698,0,40,0,0.000443577,False
2023-04-12,258.129,4091.95,0.0964374,0.00309666,0,-0.0777382,0.00157937,0.129641,900.824,0,40,0,0.000232755,False
2023-04-13,258.318,4146.22,0.0876009,0.00284904,0,0.400694,0.00208087,0.424204,910.459,0,40,0,0.000731428,False
2023-04-14,258.396,4137.64,0.0768842,0.00256951,0,-0.261594,0.00600234,0.152051,906.821,0,40,0,0.000305325,False
2023-04-17,258.455,4151.32,0.082316,0.00270069,0,0.0444402,0.00218734,0.215535,907.813,0,40,0,0.000225948,False
2023-04-18,258.536,4154.87,0.0816506,0.00268789,0,-0.0317594,0.0030028,0.178158,906.781,0,40,0,0.000315636,False
2023-04-19,258.558,4154.52,0.0775144,0.00258453,0,-0.0999365,0.00174308,0.129851,905.508,0,40,0,8.33826e-05,False
2023-04-20,258.502,4129.79,0.0729975,0.00245806,0,-0.16673,0.00136623,0.0879442,901.298,0,40,0,-0.000215234,False
2023-04-21,258.412,4133.52,0.0941598,0.00302117,0,-0.00968919,0.00180237,0.257814,903.038,0,40,0,-0.000349022,False
2023-04-24,258.561,4137.04,0.0945859,0.00303783,0,0.00546139,0.0017295,0.204347,904.514,0,40,0,0.00057562,False
2023-04-25,258.396,4071.63,0.113281,0.00356289,0,-0.336435,0.00155789,0.141352,894.569,0,40,0,-0.000639231,False
2023-04-26,258.422,4055.99,0.113687,0.00358032,0,-0.068183,0.00136468,0.155449,896.213,0,40,0,0.00010241,False
2023-04-27,258.633,4135.35,0.0979443,0.00312987,0,0.675742,0.00478376,0.710628,912.813,0,40,0,0.00081492,False
2023-04-28,258.977,4169.48,0.0876202,0.0028469,0.357989,0.839822,0.00821001,0.924366,916.448,0,40,0,0.00133262,False
2023-05-01,259.402,4167.87,0.0871633,0.00283164,0.102502,-0.0767279,0.00208482,0.402205,912.694,0,40,0,0.00164176,False
2023-05-02,259.269,4119.58,0.101146,0.00321525,0,-0.494527,0.0027176,0.136382,902.029,0,40,0,-0.000514612,False
2023-05-03,259.262,4090.75,0.109317,0.0034518,0,-0.104384,0.0010459,0.143295,898.686,0,40,0,-2.49838e-05,False
2023-05-04,259.257,4061.22,0.117861,0.00369216,0,-0.100919,0.000795028,0.161325,897.804,0,40,0,-2.15068e-05,False
2023-05-05,259.441,4136.25,0.0888295,0.00288436,0,0.40191,0.0042626,0.461017,914.628,0,40,0,0.000709339,False
2023-05-08,259.79,4138.12,0.0861879,0.00281451,0,0.0474074,0.00137231,0.241186,913.727,0,40,0,0.00134612,False
2023-05-09,259.77,4119.17,0.0955369,0.00306793,0,-0.191848,0.00164958,0.15996,908.904,0,40,0,-7.62275e-05,False
2023-05-10,259.796,4137.64,0.0828732,0.00272145,0,-0.0593714,0.004101,0.150483,911.361,0,40,0,0.00010069,False
2023-05-11,259.846,4130.62,0.0821405,0.00270088,0,-0.0576831,0.00090762,0.12192,909.014,0,40,0,0.000190195,False
2023-05-12,259.909,4124.08,0.0770854,0.00257781,0,-0.021992,0.00143136,0.110158,908.33,0,40,0,0.000241859,False
